Date,Open,High,Low,Close,Adj Close,Volume
9/14/2007,15895.04981,16142.08008,15877.08984,16127.41992,16127.41992,173000
9/18/2007,16037.49023,16037.49023,15780.90039,15801.79981,15801.79981,101000
9/19/2007,16038.12012,16386.16992,16038.12012,16381.54004,16381.54004,112200
9/20/2007,16474.66016,16491.44922,16344.28027,16413.78906,16413.78906,120800
9/21/2007,16284.42969,16353.96973,16245.94043,16312.61035,16312.61035,123000
9/25/2007,16317.19043,16434.80078,16240.25977,16401.73047,16401.73047,118000
9/26/2007,16388.50977,16457.7207,16388.50977,16435.74023,16435.74023,103800
9/27/2007,16551.93945,16868.93945,16551.93945,16832.2207,16832.2207,126800
9/28/2007,16903.64063,16929.25977,16755.21094,16785.68945,16785.68945,111600
10/1/2007,16773.09961,16899.83984,16685.80078,16845.96094,16845.96094,108600
10/2/2007,17027.91992,17072.66992,16986.38086,17046.7793,17046.7793,136000
10/3/2007,17066.14063,17205.41992,17017.76953,17199.89063,17199.89063,148200
10/4/2007,17085.32031,17160.4707,17043.75977,17092.49023,17092.49023,129200
10/5/2007,17070.60938,17144.34961,17032.75,17065.03906,17065.03906,97200
10/9/2007,17166.16992,17237.40039,17133.51953,17159.90039,17159.90039,104600
10/10/2007,17231.14063,17254.51953,17146.39063,17177.89063,17177.89063,101800
10/11/2007,17188.81055,17488.9707,17154.75,17458.98047,17458.98047,133000
10/12/2007,17417.93945,17441.75,17280.59961,17331.16992,17331.16992,127000
10/15/2007,17399.66992,17430.08984,17292.13086,17358.15039,17358.15039,97000
10/16/2007,17267.07031,17283.05078,17104.19922,17137.91992,17137.91992,114400
10/17/2007,17114.19922,17114.19922,16795.74023,16955.31055,16955.31055,150600
10/18/2007,16974.68945,17147.73047,16974.68945,17106.08984,17106.08984,113800
10/19/2007,16965,16965,16711.57031,16814.36914,16814.36914,111600
10/22/2007,16563.57031,16563.57031,16264.7002,16438.4707,16438.4707,122000
10/23/2007,16486.71094,16554.91016,16416.91992,16450.58008,16450.58008,90400
10/24/2007,16518,16578.58984,16330.33008,16358.38965,16358.38965,109200
10/25/2007,16368.01953,16438.57031,16199.01953,16284.16992,16284.16992,111600
10/26/2007,16358.61035,16505.63086,16348.86035,16505.63086,16505.63086,110200
10/29/2007,16613.30078,16774.17969,16613.30078,16698.08008,16698.08008,122000
10/30/2007,16655.31055,16682.86914,16492.56055,16651.00977,16651.00977,149200
10/31/2007,16620.58984,16738.98047,16552.53906,16737.63086,16737.63086,144800
11/1/2007,16812.90039,16887.03906,16795.55078,16870.40039,16870.40039,145000
11/2/2007,16647.40039,16654.73047,16484.53906,16517.48047,16517.48047,148200
11/5/2007,16458.14063,16458.14063,16211.79004,16268.91992,16268.91992,142800
11/6/2007,16152.58008,16353.92969,16144.40039,16249.62988,16249.62988,138800
11/7/2007,16325.17969,16326.58008,16081.03027,16096.67969,16096.67969,136000
11/8/2007,15889.03027,15891.23047,15626.05957,15771.57031,15771.57031,161200
11/9/2007,15675.48047,15834.96973,15566.12012,15583.41992,15583.41992,160400
11/12/2007,15377.37012,15386.79981,14998.50977,15197.08984,15197.08984,158600
11/13/2007,15148.16016,15235.55957,14988.76953,15126.62988,15126.62988,151000
11/14/2007,15311.37988,15504.99023,15287.25977,15499.55957,15499.55957,139000
11/15/2007,15536.34961,15587.30957,15396.29981,15396.29981,15396.29981,129800
11/16/2007,15238.73047,15238.73047,15030.01953,15154.61035,15154.61035,118800
